device,hour,day,temperature,humidity,power,duration,energy
Agricultural Sensor,14,17,31.29,52.25,3.778,2.5494,0.009632
Smart Thermostat,21,19,33.43,41.5,3.2097,7.9153,0.025406
Smart Camera,4,11,30.53,22.46,7.7466,0.9563,0.007408
Smart Camera,19,20,26.58,42.62,9.4163,1.751,0.016488
Edge Gateway,9,3,22.45,58.09,26.764,3.643,0.097501
Agricultural Sensor,11,8,35.75,58.62,3.2304,0.599,0.001935
Agricultural Sensor,14,14,21.11,44.96,3.2184,7.8801,0.025361
Smart Camera,16,26,33.69,51.31,8.2022,4.7986,0.039359
Agricultural Sensor,9,1,21.3,87.59,2.5828,4.5499,0.011751
Industrial Sensor,5,14,31.88,46.41,10.7438,2.1623,0.023231
Wearable Device,17,2,35.17,38.08,0.2527,4.0765,0.00103
Smart Meter,12,29,20.91,37.04,2.0137,0.4033,0.000812
Health Monitor,2,23,16.62,52.04,0.865,2.0249,0.001752
EV Charger,23,4,18.54,73.17,56.606,2.3531,0.1332
Edge Gateway,9,24,31.36,34.42,30.1941,3.4423,0.103937
Wearable Device,13,27,37.94,69.65,0.246,6.1326,0.001509
Smart Camera,5,29,16.21,21.48,10.243,0.8073,0.008269
Health Monitor,2,19,34.82,49.33,1.0487,0.7892,0.000828
Agricultural Sensor,15,6,24.22,74.31,3.1897,1.4252,0.004546
EV Charger,6,25,27.92,43.71,49.5485,1.2655,0.062704
Agricultural Sensor,19,1,40.08,59.46,4.5322,6.8414,0.031007
Smart Thermostat,13,17,23.96,34.35,2.6195,6.6905,0.017526
Smart Thermostat,8,8,27.56,71.94,3.2259,3.1743,0.01024
EV Charger,14,19,15.37,23.66,33.7191,4.804,0.161987
EV Charger,20,21,17.2,79.68,36.8073,5.8444,0.215117
Smart Camera,2,1,21.98,33.87,8.3633,0.8522,0.007127
EV Charger,1,5,15.75,81.21,46.5042,0.6213,0.028893
Industrial Sensor,1,27,32.05,44.68,15.1781,3.1618,0.04799
Agricultural Sensor,2,16,26.51,70.59,4.2654,2.0415,0.008708
Wearable Device,17,6,29.8,42.35,0.2976,7.9032,0.002352
Smart Lighting,13,8,19.72,83.41,4.4773,2.8183,0.012618
EV Charger,19,13,22.99,28.86,53.9943,5.704,0.307983
Edge Gateway,17,16,32.92,32.5,28.5,1.9086,0.054395
Smart Thermostat,9,30,41.06,54.51,2.3147,2.2135,0.005124
Industrial Sensor,1,3,16.36,25.74,11.8316,1.7076,0.020204
Health Monitor,21,19,39.04,33.72,1.0091,2.675,0.002699
Smart Lighting,0,12,30.58,86.06,7.3673,0.6197,0.004566
Wearable Device,3,16,30.23,88.35,0.3184,0.9207,0.000293
Smart Lighting,13,27,28.51,46.34,5.613,0.4324,0.002427
EV Charger,0,11,16.87,84.63,56.6998,2.316,0.131317
Smart Camera,13,10,17.43,58.14,9.2424,4.0377,0.037318
Smart Thermostat,15,25,31.22,38.88,2.5274,0.8945,0.002261
Smart Thermostat,21,20,24.21,69.17,2.2522,1.5064,0.003393
Health Monitor,13,31,39.77,66.12,1.0069,0.96,0.000967
Smart Camera,19,4,25.98,89.24,7.5333,4.9895,0.037587
Agricultural Sensor,2,12,18.87,38.55,2.6051,0.3877,0.00101
Smart Meter,2,23,34.3,67.04,1.9828,2.4735,0.004904
Industrial Sensor,8,2,22.92,23.64,10.8063,0.312,0.003372
Smart Thermostat,5,24,29.19,27.96,2.8351,0.878,0.002489
Edge Gateway,12,22,33.84,20.27,21.1182,7.1863,0.151762
Smart Thermostat,20,19,39.31,89.96,3.019,5.8264,0.01759
Smart Lighting,1,25,36.39,76.16,5.7514,0.3206,0.001844
Smart Thermostat,7,5,33.26,75.07,1.9247,2.6848,0.005167
Smart Thermostat,20,8,33.35,55.68,2.1207,4.045,0.008578
Smart Meter,1,7,40.54,41.0,2.5062,2.7658,0.006932
Smart Meter,3,14,22.99,30.59,2.2295,1.9883,0.004433
Wearable Device,14,24,15.03,39.93,0.2497,5.5365,0.001382
Agricultural Sensor,3,23,22.34,46.32,3.7843,3.2295,0.012221
Edge Gateway,12,3,20.88,72.94,26.8861,1.9855,0.053382
Smart Thermostat,11,18,32.87,57.78,3.4125,5.0792,0.017333
Smart Thermostat,12,16,32.11,25.42,2.4855,3.7865,0.009411
Industrial Sensor,13,23,31.02,21.26,14.1165,0.4617,0.006518
Smart Meter,19,19,15.44,27.16,1.3295,0.2643,0.000351
Edge Gateway,17,19,34.68,48.73,25.5185,1.0919,0.027864
Health Monitor,5,18,23.74,85.32,1.04,2.1411,0.002227
Wearable Device,10,20,32.96,64.62,0.33,4.6306,0.001528
Agricultural Sensor,1,16,30.03,76.13,2.9827,1.8388,0.005485
Smart Camera,22,8,24.25,52.65,6.8573,0.4017,0.002755
Agricultural Sensor,18,28,18.63,45.32,3.5751,3.8575,0.013791
Smart Lighting,18,1,17.55,27.59,6.4651,7.4545,0.048194
Smart Thermostat,4,17,37.45,81.32,2.551,1.3464,0.003435
Wearable Device,18,12,39.8,74.82,0.4195,5.0869,0.002134
Smart Lighting,1,30,32.54,31.77,4.6839,2.5542,0.011964
Edge Gateway,9,21,17.79,55.86,22.1161,6.343,0.140282
Smart Camera,1,11,25.85,54.12,10.9534,1.7309,0.018959
Smart Meter,10,5,34.68,63.76,1.7533,6.9278,0.012147
Wearable Device,17,27,36.06,86.23,0.2813,3.2419,0.000912
Wearable Device,23,12,18.19,60.58,0.3054,2.8983,0.000885
Smart Thermostat,14,17,15.0,57.82,2.9085,2.0478,0.005956
EV Charger,8,6,34.23,23.52,37.673,2.3637,0.089048
Wearable Device,22,1,24.63,24.4,0.3881,0.5697,0.000221
Industrial Sensor,18,5,21.87,33.11,14.2732,6.4351,0.091849
Smart Camera,8,25,15.35,22.27,6.8377,3.4447,0.023554
Smart Camera,2,28,29.59,72.03,10.0858,0.814,0.00821
Industrial Sensor,20,14,37.98,70.63,12.3591,1.9811,0.024485
Health Monitor,8,5,40.86,29.52,0.8441,7.2711,0.006138
Industrial Sensor,13,22,30.28,78.53,14.8066,6.7379,0.099765
Industrial Sensor,18,24,28.89,30.84,16.0029,4.5229,0.07238
Smart Camera,6,27,17.3,41.08,6.6453,2.0369,0.013536
Agricultural Sensor,15,1,29.82,37.43,3.2368,3.8972,0.012614
Smart Camera,15,30,25.26,46.06,8.7069,3.2442,0.028247
EV Charger,0,18,31.39,37.83,44.6547,2.9829,0.133201
Smart Thermostat,3,16,25.5,54.23,2.3895,0.4869,0.001163
Smart Lighting,3,9,21.49,48.52,4.5356,1.4123,0.006406
Agricultural Sensor,6,19,17.56,89.06,3.5222,1.1788,0.004152
Smart Meter,7,22,23.5,23.91,1.7801,1.6642,0.002962
Smart Lighting,16,5,17.61,29.95,4.9311,3.7653,0.018567
Smart Thermostat,4,27,19.78,23.7,2.9717,1.7297,0.00514
EV Charger,6,2,41.66,63.81,59.2043,0.5321,0.031503
EV Charger,19,30,26.99,23.82,46.6458,4.2038,0.19609
Smart Meter,19,15,29.36,78.55,1.6837,2.0651,0.003477
Agricultural Sensor,3,7,38.59,55.84,3.8171,0.6725,0.002567
Health Monitor,5,4,41.88,56.89,0.7896,0.2949,0.000233
Industrial Sensor,6,1,30.73,59.31,10.8453,2.5,0.027113
Agricultural Sensor,17,13,36.94,31.96,3.9726,3.5268,0.014011
Health Monitor,4,20,23.83,33.84,0.6064,2.0702,0.001255
EV Charger,19,22,23.26,42.32,35.4482,5.898,0.209073
Smart Camera,2,7,25.87,61.54,6.3414,2.2366,0.014183
Smart Thermostat,6,15,33.16,34.71,2.1587,1.5768,0.003404
Smart Meter,21,23,33.42,28.14,1.4631,3.2144,0.004703
Smart Thermostat,13,14,23.51,87.91,3.2931,3.1201,0.010275
Edge Gateway,6,23,18.6,21.54,21.9973,2.1126,0.046471
Edge Gateway,4,19,32.07,76.19,21.4161,1.6536,0.035414
Agricultural Sensor,21,22,18.46,75.16,2.7262,6.8581,0.018697
EV Charger,4,29,30.62,40.8,59.7986,2.8541,0.170671
EV Charger,22,24,33.72,29.49,49.1612,1.4974,0.073614
Industrial Sensor,1,20,33.92,30.19,11.9708,0.5205,0.006231
Industrial Sensor,20,29,35.34,68.82,15.8495,5.1302,0.081311
Industrial Sensor,21,24,38.57,65.0,12.4699,2.5297,0.031545
Smart Camera,5,18,28.5,74.79,8.1038,0.1487,0.001205
Smart Lighting,14,31,34.72,85.62,5.4225,7.1703,0.038881
Wearable Device,20,10,31.72,68.43,0.2985,1.9425,0.00058
Smart Lighting,9,9,20.04,30.91,5.4156,7.4913,0.04057
Smart Thermostat,22,25,15.69,37.04,2.713,5.8177,0.015783
Smart Lighting,23,8,22.68,78.95,5.3951,2.5,0.013488
Smart Camera,6,26,26.96,34.65,9.2703,0.7266,0.006736
Smart Thermostat,4,30,31.66,25.08,2.01,0.8301,0.001669
Smart Lighting,0,29,37.95,69.23,5.4468,1.7372,0.009462
Smart Camera,12,10,20.3,48.18,8.1273,1.5096,0.012269
Wearable Device,20,17,18.39,84.4,0.3747,2.5629,0.00096
Smart Lighting,17,2,41.01,65.52,6.2392,2.6896,0.016781
Smart Camera,12,6,17.92,26.33,9.2698,1.4111,0.013081
Industrial Sensor,20,26,27.92,86.35,10.8323,1.7709,0.019183
EV Charger,20,5,30.81,38.1,37.7023,6.3796,0.240526
Industrial Sensor,17,28,29.62,43.6,9.4978,1.4708,0.013969
EV Charger,4,30,17.32,48.16,39.7536,0.1799,0.007152
Smart Meter,12,9,16.54,23.59,1.4332,5.1219,0.007341
Smart Meter,3,5,17.85,54.76,1.4599,3.1741,0.004634
Smart Meter,16,18,30.81,28.63,2.2021,2.7666,0.006092
Wearable Device,2,26,29.7,48.07,0.2298,0.465,0.000107
Industrial Sensor,16,20,21.31,44.55,12.5808,4.6561,0.058577
EV Charger,10,9,32.22,74.1,44.9238,7.3102,0.328402
Smart Camera,20,17,37.14,76.22,9.3678,6.3441,0.05943
Smart Thermostat,19,27,16.12,30.74,2.5577,5.0679,0.012962
Smart Camera,22,17,28.45,45.66,7.9911,2.6389,0.021088
Smart Thermostat,20,12,33.61,46.13,2.3827,4.4309,0.010558
Edge Gateway,3,7,21.81,30.6,28.8302,0.3783,0.010906
Smart Camera,1,27,23.31,75.89,10.5648,2.2355,0.023618
Smart Lighting,19,3,31.57,69.51,5.286,5.8783,0.031073
Smart Lighting,15,10,39.24,33.33,5.1241,7.7737,0.039833
Agricultural Sensor,17,2,36.87,45.67,4.3067,2.2071,0.009505
Industrial Sensor,7,25,30.74,27.41,11.6771,0.1483,0.001732
Smart Thermostat,2,3,34.72,63.97,2.7928,1.8141,0.005066
Smart Thermostat,8,16,24.85,28.5,2.3763,5.7336,0.013625
Industrial Sensor,19,2,32.31,89.02,10.1192,6.3942,0.064704
Wearable Device,5,28,27.59,74.65,0.3304,0.7022,0.000232
Agricultural Sensor,9,24,20.13,47.32,3.2742,2.2178,0.007262
Wearable Device,20,10,33.95,60.5,0.2693,4.1995,0.001131
Wearable Device,9,6,30.02,83.79,0.3094,2.7617,0.000854
Wearable Device,12,22,24.68,58.79,0.3623,6.948,0.002517
Industrial Sensor,16,26,39.61,32.21,14.0203,3.8927,0.054577
Wearable Device,8,11,15.57,46.51,0.2274,6.4667,0.001471
Smart Lighting,16,23,23.53,79.02,6.3282,4.7369,0.029976
Smart Meter,23,7,16.54,65.09,1.9881,2.533,0.005036
Edge Gateway,8,27,35.7,65.55,31.8202,2.7781,0.0884
Smart Thermostat,8,29,33.96,80.68,2.9027,6.7182,0.019501
Smart Thermostat,0,15,23.95,82.58,2.0614,0.9576,0.001974
Edge Gateway,1,6,33.24,84.39,30.1729,1.8157,0.054785
Industrial Sensor,15,20,25.69,26.64,13.7166,1.8407,0.025248
Smart Camera,0,27,35.42,58.09,6.7407,1.5927,0.010736
Industrial Sensor,9,9,27.26,71.84,11.9203,2.6636,0.031751
Smart Thermostat,17,22,26.13,72.98,2.3522,2.257,0.005309
Smart Thermostat,7,20,40.24,62.47,3.0553,3.1457,0.009611
Edge Gateway,20,12,21.77,31.68,21.307,1.4146,0.030141
Wearable Device,10,19,18.25,75.82,0.3152,6.3699,0.002008
Industrial Sensor,22,20,30.78,70.41,15.7916,7.9249,0.125147
EV Charger,1,3,41.17,26.03,58.9316,0.1529,0.009011
Edge Gateway,7,15,25.2,52.47,32.1159,2.2989,0.073831
Smart Lighting,21,2,16.67,32.18,7.5681,2.148,0.016256
Smart Thermostat,7,30,24.16,43.62,1.8547,0.2179,0.000404
Edge Gateway,16,21,28.66,21.27,28.1838,3.3328,0.093931
Industrial Sensor,14,2,19.37,48.02,11.4558,7.5382,0.086356
Smart Thermostat,16,22,32.77,58.49,3.2403,0.2429,0.000787
Smart Camera,22,3,41.94,63.37,8.1931,4.7943,0.03928
Edge Gateway,23,6,27.2,66.44,33.3316,1.6744,0.05581
Agricultural Sensor,12,15,24.58,78.54,3.5171,7.0497,0.024794
Smart Thermostat,18,27,25.82,35.08,3.0319,0.8136,0.002467
Industrial Sensor,4,10,18.11,28.43,9.1408,2.2436,0.020508
Smart Meter,11,9,38.85,79.61,1.6321,5.5229,0.009014
EV Charger,0,1,26.2,30.96,53.7389,2.2043,0.118457
Health Monitor,22,16,25.46,88.23,0.6028,7.5944,0.004578
Wearable Device,4,6,32.81,78.98,0.381,2.691,0.001025
Health Monitor,7,9,26.93,55.06,0.6034,0.2226,0.000134
Industrial Sensor,12,27,32.5,88.7,14.0402,3.8716,0.054358
Smart Lighting,7,4,16.66,26.82,5.4847,1.3475,0.007391
Smart Lighting,22,27,36.97,41.21,7.0019,2.6002,0.018206
Smart Meter,10,28,40.39,64.68,2.2319,3.7156,0.008293
Wearable Device,0,2,32.52,44.5,0.2931,1.3041,0.000382
Agricultural Sensor,12,29,40.77,84.99,2.7738,3.5654,0.00989
Smart Meter,18,4,19.09,24.59,1.3617,7.8862,0.010739
Health Monitor,23,1,27.89,58.46,0.8822,0.3701,0.000327
Smart Meter,2,19,31.25,61.36,1.9434,3.0042,0.005838
Health Monitor,23,26,30.71,65.69,0.9692,1.6075,0.001558
Smart Thermostat,16,25,25.84,37.9,2.6111,5.0776,0.013258
Smart Lighting,4,10,24.13,45.52,5.9043,2.7134,0.016021
Smart Thermostat,19,21,18.42,79.06,2.3537,2.9977,0.007056
EV Charger,20,15,25.58,33.65,34.0471,3.5503,0.120877
Wearable Device,7,27,19.39,77.88,0.2731,1.3841,0.000378
Agricultural Sensor,13,22,34.83,59.39,4.4199,3.1104,0.013748
Health Monitor,3,19,20.64,73.35,0.9818,3.0147,0.00296
Agricultural Sensor,10,16,16.58,69.95,2.8593,6.6985,0.019153
Health Monitor,19,21,29.91,34.53,0.8906,1.0111,0.0009
Industrial Sensor,14,27,31.07,59.82,15.3323,1.0042,0.015397
Smart Meter,18,24,38.54,80.74,1.9228,3.5302,0.006788
EV Charger,6,22,30.58,50.25,34.6765,0.4018,0.013933
Smart Lighting,18,4,24.33,87.66,4.6807,5.0408,0.023594
Health Monitor,18,2,36.68,51.66,0.8817,1.2852,0.001133
Agricultural Sensor,10,30,29.59,29.99,4.2952,4.2767,0.018369
EV Charger,4,25,17.14,47.26,49.6177,0.1128,0.005597
Smart Camera,4,13,30.28,86.62,6.8135,1.0904,0.007429
Smart Camera,21,28,39.52,42.38,7.7636,5.4998,0.042698
Smart Thermostat,7,1,25.7,80.77,2.9971,1.6196,0.004854
Smart Lighting,9,17,23.0,81.69,7.341,7.8783,0.057835
Industrial Sensor,5,13,18.87,44.51,12.8335,2.8522,0.036604
Agricultural Sensor,14,4,19.09,25.83,3.4753,2.9867,0.01038
Smart Meter,15,7,26.68,70.72,1.3715,0.5093,0.000699
Smart Meter,16,17,31.08,41.81,2.2794,6.8304,0.015569
Agricultural Sensor,7,9,17.18,74.8,3.7018,2.9695,0.010992
Wearable Device,7,4,40.37,50.99,0.2884,2.6832,0.000774
Industrial Sensor,8,19,35.39,53.97,14.6236,1.1608,0.016975
EV Charger,1,1,30.84,74.45,40.1127,3.2434,0.130102
Health Monitor,14,10,37.37,46.77,0.6484,2.1928,0.001422
Wearable Device,17,4,17.17,51.02,0.2471,5.8712,0.001451
Health Monitor,2,9,27.87,46.33,0.6853,2.9594,0.002028
Health Monitor,16,13,32.01,45.71,0.7774,2.0119,0.001564
Wearable Device,3,14,37.37,56.82,0.3144,2.9601,0.000931
Smart Thermostat,3,10,36.15,76.62,2.7453,1.068,0.002932
Smart Camera,13,6,22.48,45.32,8.5634,7.8637,0.06734
Health Monitor,8,16,40.4,56.7,0.7752,2.372,0.001839
Wearable Device,8,6,18.36,66.95,0.2192,7.6821,0.001684
Wearable Device,22,17,38.63,38.86,0.3517,0.573,0.000202
Edge Gateway,17,10,41.22,39.43,26.3179,5.7532,0.151412
Smart Thermostat,9,18,19.78,85.34,2.2275,4.3537,0.009698
Smart Lighting,20,27,34.5,70.65,7.8687,3.9252,0.030886
Edge Gateway,3,22,16.09,60.4,28.1676,0.7962,0.022427
Edge Gateway,11,18,25.95,65.34,31.2924,5.7242,0.179124
Agricultural Sensor,7,3,28.94,22.05,3.3661,0.693,0.002333
Smart Camera,1,20,30.68,63.27,7.1371,1.837,0.013111
Wearable Device,21,27,40.27,55.67,0.3718,2.1506,0.0008
Smart Camera,12,21,33.15,58.2,7.6172,7.6994,0.058648
Industrial Sensor,20,31,27.99,45.16,12.1762,0.3762,0.004581
Agricultural Sensor,15,25,36.86,25.7,2.6367,1.7279,0.004556
Smart Lighting,1,28,40.66,33.53,7.944,0.8557,0.006798
Smart Camera,10,15,15.6,86.55,6.5822,3.4211,0.022518
Smart Meter,9,15,41.53,48.61,2.4827,1.9886,0.004937
Health Monitor,14,4,17.33,52.67,0.9607,4.0317,0.003873
Industrial Sensor,16,29,36.99,23.69,12.8999,7.0425,0.090848
Smart Thermostat,7,27,22.57,22.63,2.9103,2.3401,0.00681
Smart Lighting,17,9,18.57,70.2,6.4127,4.7317,0.030343
Industrial Sensor,22,27,26.88,57.67,14.6994,0.8531,0.01254
Health Monitor,8,26,32.39,55.61,0.825,5.6325,0.004647
Agricultural Sensor,7,19,25.29,37.02,3.8558,0.6159,0.002375
Health Monitor,13,24,16.47,72.13,0.7746,6.3623,0.004928
Edge Gateway,17,28,31.19,31.78,33.3887,2.1254,0.070964
Health Monitor,21,17,39.36,33.3,0.8808,3.4447,0.003034
Edge Gateway,19,11,25.35,52.25,25.3489,2.9187,0.073986
Agricultural Sensor,19,25,20.84,40.04,3.7675,6.9346,0.026126
EV Charger,20,9,26.95,37.32,55.639,1.1497,0.063968
Edge Gateway,11,10,16.31,65.17,25.4853,4.6186,0.117706
Smart Thermostat,18,18,37.15,65.57,2.2428,1.2723,0.002854
Health Monitor,13,20,37.31,77.72,0.8629,5.7179,0.004934
Health Monitor,16,13,30.88,49.24,1.08,7.3001,0.007884
Smart Thermostat,23,8,24.53,25.12,2.9524,1.4634,0.004321
Smart Meter,20,7,36.59,39.16,2.3217,4.0059,0.0093
Wearable Device,2,17,29.98,88.6,0.2332,3.0207,0.000704
EV Charger,22,21,37.3,61.74,48.539,4.2658,0.207058
Smart Lighting,6,23,32.05,69.68,6.9661,1.6308,0.01136
Edge Gateway,16,15,36.18,20.52,32.4766,4.7188,0.153251
Smart Thermostat,11,20,31.16,56.27,1.9797,5.5949,0.011076
